"UserID","YOB","Gender","Income","HouseholdStatus","EducationLevel","Party","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024","votes","Party5","EducationLevel4","Income5","Income6"
3,1983,"Male","$50,000 - $74,999","Married (w/kids)","Current Undergraduate","Libertarian","Yes","Yes","No","Yes","Yes","Yes","Public","No","Yes","No","No","No","No","Yes","Science","Study first","No","Yes","Yes","No","Giving","Yes","No","Idealist","Yes","Yes","Hot headed","Standard hours","Yes","Right","Yes","Yes","Yes","No","P.M.","No","End","Yes","Yes","Circumstances","Yes","No","No","No","No","Mysterious","Yes","No","Tunes","Technology","No","Yes","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Grrr people","Yes","No","No","Yes","No","Yes","No","No","No","No","Yes","Yes","Rent","Pessimist","Dad","Yes","Yes","Yes","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes",49,"FALSE","FALSE","FALSE","FALSE"
4,1970,"Female","over $150,000","Domestic Partners (w/kids)","Bachelor's Degree","Democrat","No","Yes","No","No","No","Yes","Public","No","Yes","No","Yes","No","No","Yes","Science","Study first","Yes","Yes","No","No","Receiving","No","No","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","Yes","No","A.M.","No","End","Yes","No","Me","Yes","Yes","No","Yes","No","Mysterious","No","No","Talk","People","No","No","Yes","Yes","Yes","Demanding","Yes","Mac","Yes","Cautious","No","Umm...","No","Space","Yes","In-person","No","Yes","Yes","No","Yay people!","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Own","Optimist","Dad","No","No","No","No","Check!","Yes","No","No","No","No","No","Only-child","Yes","No","No",75,"FALSE","FALSE","FALSE","TRUE"
10,1980,"Female","$50,000 - $74,999","Single (no kids)","Master's Degree","Democrat","Yes","Yes","No","Yes","Yes","Yes","Public","No","Yes","No","Yes","No","Yes","Yes","Science","Try first","Yes","No","No","Yes","Giving","Yes","Yes","Idealist","No","No","Cool headed","Standard hours","No","Happy","Yes","No","No","Yes","A.M.","Yes","Start","Yes","No","Me","Yes","No","Yes","Yes","Yes","TMI","No","Yes","Talk","People","No","No","Yes","No","Yes","Supportive","No","PC","No","Cautious","Yes","Yes!","No","Space","No","Online","No","No","Yes","Yes","Yay people!","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Own","Optimist","Dad","No","No","Yes","Yes","Nope","Yes","No","No","No","Yes","No","Yes","No","No","Yes",101,"FALSE","FALSE","FALSE","FALSE"
14,1983,"Male","$25,001 - $50,000","Married (no kids)","Current Undergraduate","Democrat","Yes","Yes","No","Yes","No","No","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Study first","No","No","No","No","Giving","No","No","Pragmatist","No","Yes","Cool headed","Odd hours","No","Happy","No","Yes","No","Yes","P.M.","Yes","End","Yes","No","Me","Yes","Yes","No","Yes","No","Mysterious","No","No","Talk","Technology","Yes","No","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","Yes","Umm...","No","Space","No","Online","Yes","No","Yes","No","Grrr people","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","No","No","Own","Pessimist","Mom","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes",60,"FALSE","FALSE","FALSE","FALSE"
16,1993,"Male","under $25,000","Single (no kids)","Current K-12","Republican","No","No","Yes","No","No","Yes","Public","Yes","No","No","Yes","No","Yes","Yes","Science","Study first","No","No","No","No","Receiving","Yes","Yes","Pragmatist","No","Yes","Cool headed","Standard hours","No","Happy","Yes","No","No","No","P.M.","Yes","Start","Yes","No","Me","Yes","Yes","Yes","Yes","No","Mysterious","No","No","Tunes","Technology","No","Yes","Yes","No","Yes","Demanding","No","PC","No","Cautious","No","Umm...","No","Space","No","In-person","No","No","Yes","Yes","Grrr people","Yes","No","Yes","No","No","Yes","No","Yes","No","No","Yes","No","Own","Optimist","Dad","No","No","Yes","No","Nope","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes",77,"TRUE","FALSE","FALSE","FALSE"
23,1970,"Male","$75,000 - $100,000","Married (w/kids)","Bachelor's Degree","Libertarian","No","Yes","No","No","Yes","Yes","Private","No","Yes","No","No","Yes","Yes","Yes","Science","Study first","No","Yes","No","Yes","Giving","Yes","No","Idealist","Yes","Yes","Hot headed","Odd hours","No","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","Yes","Me","Yes","Yes","No","No","Yes","Mysterious","No","No","Talk","Technology","No","Yes","Yes","No","No","Supportive","No","Mac","No","Cautious","No","Umm...","No","Space","No","Online","Yes","No","Yes","No","Grrr people","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","No","Own","Optimist","Dad","No","Yes","No","No","Nope","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes",84,"FALSE","FALSE","FALSE","FALSE"
29,1993,"Female","$50,000 - $74,999","Domestic Partners (no kids)","High School Diploma","Libertarian","No","Yes","No","No","Yes","No","Public","No","Yes","No","No","No","No","Yes","Science","Study first","No","Yes","No","Yes","Receiving","Yes","No","Pragmatist","Yes","No","Hot headed","Standard hours","No","Happy","Yes","Yes","No","Yes","P.M.","No","Start","Yes","No","Me","Yes","Yes","No","Yes","No","TMI","No","No","Tunes","People","No","Yes","Yes","No","Yes","Demanding","No","PC","Yes","Cautious","No","Umm...","No","Space","Yes","In-person","No","No","Yes","No","Grrr people","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Own","Pessimist","Mom","No","Yes","Yes","Yes","Nope","No","No","No","No","Yes","No","Yes","Yes","No","Yes",99,"FALSE","FALSE","FALSE","FALSE"
33,1995,"Male","$75,000 - $100,000","Single (no kids)","Current K-12","Democrat","No","Yes","No","No","Yes","Yes","Public","No","No","No","Yes","No","Yes","Yes","Science","Try first","No","Yes","Yes","No","Giving","Yes","Yes","Pragmatist","No","Yes","Hot headed","Standard hours","No","Right","Yes","Yes","No","Yes","P.M.","No","Start","Yes","No","Me","Yes","Yes","No","Yes","No","TMI","No","Yes","Tunes","People","Yes","Yes","Yes","Yes","Yes","Supportive","Yes","PC","No","Cautious","No","Yes!","No","Space","No","Online","No","Yes","Yes","Yes","Grrr people","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No","Own","Pessimist","Mom","No","No","Yes","Yes","Check!","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes",94,"FALSE","FALSE","FALSE","FALSE"
37,1950,"Female","$50,000 - $74,999","Married (no kids)","Associate's Degree","Independent","Yes","Yes","No","No","No","Yes","Public","No","Yes","No","No","No","No","Yes","Art","Study first","Yes","No","No","Yes","Giving","Yes","No","Pragmatist","No","No","Hot headed","Odd hours","No","Happy","No","Yes","No","Yes","A.M.","Yes","Start","Yes","No","Circumstances","Yes","No","No","Yes","Yes","Mysterious","Yes","No","Tunes","Technology","No","No","Yes","No","No","Supportive","No","PC","No","Cautious","Yes","Yes!","No","Space","No","In-person","No","Yes","No","Yes","Yay people!","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","No","Own","Pessimist","Mom","No","Yes","Yes","No","Check!","Yes","No","No","Yes","Yes","No","Only-child","No","No","No",95,"FALSE","TRUE","FALSE","FALSE"
45,1950,"Male","$25,001 - $50,000","Married (w/kids)","Bachelor's Degree","Independent","No","No","No","Yes","Yes","Yes","Public","No","Yes","No","No","Yes","No","Yes","Science","Try first","No","No","No","Yes","Giving","Yes","No","Pragmatist","Yes","No","Cool headed","Standard hours","No","Right","Yes","Yes","No","Yes","P.M.","Yes","Start","No","No","Me","Yes","No","Yes","Yes","No","TMI","No","No","Tunes","People","Yes","No","No","No","Yes","Supportive","No","PC","No","Cautious","No","Yes!","No","Socialize","No","In-person","Yes","No","Yes","Yes","Yay people!","Yes","No","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","Rent","Optimist","Dad","No","Yes","No","Yes","Check!","No","No","No","Yes","Yes","No","Yes","No","Yes","Yes",101,"FALSE","FALSE","FALSE","FALSE"
