"UserID","Probability1"
3,0.544
4,0.636
10,0.612
14,0.36
16,0.52
23,0.422
29,0.516
33,0.462
37,0.64
45,0.73
47,0.71
54,0.306
55,0.666
60,0.496
68,0.686
79,0.602
90,0.692
93,0.546
98,0.65
101,0.776
107,0.706
109,0.476
113,0.674
116,0.566
118,0.37
119,0.684
120,0.786
126,0.536
131,0.744
134,0.782
135,0.662
137,0.802
139,0.35
140,0.626
141,0.832
142,0.362
152,0.776
162,0.674
164,0.586
168,0.716
172,0.76
173,0.592
176,0.88
179,0.554
181,0.668
182,0.244
183,0.582
186,0.8
189,0.548
192,0.504
193,0.716
194,0.76
196,0.614
197,0.878
198,0.51
201,0.654
204,0.666
205,0.466
210,0.59
213,0.486
216,0.446
221,0.704
234,0.224
237,0.468
241,0.432
246,0.376
258,0.744
261,0.274
262,0.632
271,0.506
279,0.662
280,0.504
288,0.384
291,0.58
296,0.214
301,0.708
305,0.158
306,0.56
310,0.586
313,0.834
315,0.666
317,0.67
318,0.81
319,0.506
321,0.658
323,0.538
324,0.53
325,0.752
326,0.642
327,0.552
328,0.624
331,0.51
340,0.71
342,0.656
344,0.756
346,0.756
347,0.856
358,0.252
368,0.222
369,0.606
382,0.404
383,0.874
384,0.414
385,0.64
386,0.77
392,0.54
396,0.518
397,0.46
399,0.564
400,0.864
402,0.462
404,0.59
405,0.366
410,0.402
412,0.486
415,0.506
416,0.526
418,0.69
419,0.478
421,0.222
422,0.692
424,0.702
437,0.844
440,0.72
442,0.79
443,0.462
447,0.572
448,0.67
449,0.62
453,0.564
465,0.548
467,0.702
468,0.364
470,0.334
472,0.522
476,0.476
484,0.704
486,0.734
487,0.5
492,0.802
494,0.652
495,0.652
503,0.606
505,0.834
514,0.324
516,0.616
518,0.604
521,0.358
523,0.598
529,0.222
531,0.626
533,0.652
534,0.406
536,0.496
545,0.734
549,0.856
553,0.718
555,0.496
561,0.664
562,0.73
563,0.774
567,0.276
569,0.326
570,0.332
575,0.832
577,0.672
579,0.456
581,0.47
582,0.604
583,0.262
590,0.406
598,0.522
600,0.644
603,0.782
604,0.74
606,0.536
619,0.72
621,0.526
622,0.754
623,0.288
627,0.704
633,0.77
636,0.77
639,0.544
643,0.712
653,0.3
654,0.856
660,0.798
681,0.566
685,0.754
691,0.588
696,0.732
698,0.266
699,0.812
700,0.654
703,0.73
705,0.704
707,0.764
708,0.654
711,0.556
712,0.782
716,0.38
719,0.742
722,0.602
724,0.406
727,0.304
730,0.652
736,0.714
743,0.746
753,0.69
755,0.318
765,0.786
774,0.652
775,0.39
778,0.71
784,0.572
788,0.742
789,0.444
791,0.546
797,0.476
798,0.368
800,0.852
802,0.168
807,0.446
810,0.866
811,0.482
820,0.792
821,0.582
822,0.616
823,0.654
824,0.82
826,0.12
828,0.558
831,0.452
832,0.184
833,0.328
834,0.416
837,0.616
838,0.774
841,0.668
843,0.652
844,0.436
850,0.76
853,0.636
855,0.342
856,0.536
860,0.318
864,0.336
868,0.596
875,0.428
876,0.262
877,0.74
879,0.472
889,0.726
890,0.596
894,0.35
896,0.604
897,0.668
904,0.26
905,0.614
907,0.4
909,0.254
913,0.492
925,0.436
926,0.44
927,0.608
928,0.402
931,0.604
932,0.776
934,0.46
935,0.384
939,0.36
941,0.494
942,0.18
947,0.52
948,0.402
950,0.572
951,0.418
958,0.428
959,0.68
960,0.77
966,0.382
975,0.642
985,0.784
992,0.27
993,0.278
994,0.186
995,0.28
998,0.616
1001,0.8
1009,0.26
1011,0.39
1012,0.662
1013,0.572
1014,0.362
1028,0.768
1032,0.642
1033,0.832
1037,0.54
1051,0.578
1052,0.348
1055,0.578
1061,0.35
1067,0.676
1071,0.72
1073,0.794
1075,0.282
1077,0.44
1078,0.278
1081,0.516
1082,0.664
1088,0.814
1094,0.67
1100,0.458
1102,0.762
1103,0.326
1112,0.812
1114,0.706
1117,0.884
1118,0.614
1127,0.81
1130,0.816
1131,0.782
1132,0.598
1136,0.378
1139,0.584
1151,0.904
1152,0.692
1153,0.558
1155,0.742
1158,0.384
1161,0.802
1165,0.746
1166,0.512
1172,0.624
1173,0.476
1177,0.4
1178,0.57
1179,0.502
1180,0.328
1181,0.272
1182,0.726
1187,0.704
1190,0.814
1194,0.596
1197,0.512
1198,0.406
1203,0.544
1206,0.81
1208,0.532
1212,0.806
1214,0.85
1217,0.316
1220,0.574
1225,0.708
1232,0.556
1234,0.53
1241,0.626
1247,0.596
1250,0.41
1251,0.702
1255,0.89
1256,0.596
1260,0.636
1261,0.864
1266,0.706
1270,0.56
1272,0.76
1274,0.718
1288,0.5
1290,0.77
1291,0.764
1294,0.514
1295,0.512
1297,0.76
1300,0.786
1303,0.72
1306,0.702
1311,0.498
1315,0.332
1320,0.438
1324,0.808
1326,0.4
1335,0.664
1337,0.7
1339,0.396
1343,0.574
1345,0.65
1348,0.714
1350,0.318
1355,0.43
1357,0.59
1366,0.664
1371,0.482
1373,0.462
1376,0.666
1386,0.706
1387,0.478
1394,0.598
1397,0.104
1400,0.632
1403,0.646
1405,0.584
1409,0.71
1412,0.374
1413,0.316
1416,0.694
1420,0.476
1421,0.806
1423,0.856
1440,0.768
1443,0.818
1445,0.624
1449,0.824
1451,0.544
1452,0.284
1457,0.488
1460,0.428
1463,0.288
1464,0.494
1466,0.554
1468,0.788
1469,0.784
1472,0.388
1473,0.878
1474,0.344
1475,0.662
1476,0.648
1477,0.676
1478,0.798
1479,0.836
1482,0.772
1485,0.512
1493,0.7
1499,0.918
1502,0.6
1503,0.532
1505,0.478
1507,0.72
1511,0.302
1516,0.712
1522,0.574
1543,0.474
1545,0.66
1548,0.672
1550,0.75
1552,0.528
1553,0.618
1558,0.57
1560,0.898
1562,0.662
1565,0.478
1566,0.296
1572,0.702
1576,0.576
1578,0.686
1582,0.476
1591,0.484
1592,0.204
1593,0.656
1594,0.582
1602,0.338
1604,0.622
1605,0.638
1607,0.576
1617,0.786
1619,0.392
1621,0.874
1628,0.566
1630,0.552
1632,0.496
1633,0.386
1636,0.734
1647,0.282
1648,0.544
1657,0.262
1658,0.872
1667,0.348
1669,0.24
1684,0.262
1688,0.41
1689,0.614
1692,0.68
1694,0.324
1699,0.556
1703,0.676
1704,0.662
1707,0.316
1720,0.688
1727,0.406
1728,0.488
1729,0.78
1736,0.42
1737,0.78
1744,0.536
1746,0.644
1747,0.894
1751,0.668
1755,0.648
1760,0.538
1761,0.666
1762,0.76
1763,0.324
1764,0.55
1766,0.244
1776,0.798
1781,0.554
1787,0.678
1798,0.484
1801,0.766
1808,0.69
1811,0.4
1812,0.744
1813,0.638
1816,0.74
1817,0.41
1818,0.724
1823,0.468
1826,0.278
1828,0.666
1831,0.624
1833,0.63
1839,0.724
1847,0.51
1850,0.706
1855,0.782
1864,0.606
1866,0.322
1872,0.696
1874,0.652
1875,0.83
1886,0.506
1889,0.812
1894,0.896
1899,0.476
1902,0.852
1903,0.186
1904,0.682
1908,0.342
1910,0.326
1912,0.582
1913,0.482
1921,0.294
1927,0.638
1928,0.766
1940,0.648
1943,0.434
1944,0.516
1947,0.51
1952,0.138
1959,0.366
1964,0.438
1966,0.646
1969,0.564
1978,0.762
1980,0.614
1983,0.758
1988,0.528
1990,0.774
1995,0.614
1996,0.788
2001,0.854
2006,0.458
2007,0.496
2011,0.392
2020,0.484
2021,0.488
2022,0.45
2028,0.66
2034,0.454
2036,0.574
2037,0.668
2038,0.614
2045,0.396
2047,0.688
2052,0.744
2058,0.926
2061,0.308
2065,0.202
2067,0.592
2068,0.674
2070,0.586
2071,0.668
2072,0.69
2075,0.736
2076,0.6
2084,0.488
2094,0.668
2095,0.388
2101,0.766
2104,0.246
2112,0.734
2114,0.302
2117,0.684
2118,0.532
2123,0.778
2129,0.736
2131,0.406
2140,0.528
2141,0.628
2146,0.702
2147,0.466
2148,0.52
2151,0.842
2153,0.594
2156,0.756
2160,0.692
2177,0.552
2178,0.618
2188,0.538
2192,0.406
2198,0.642
2199,0.776
2203,0.7
2207,0.356
2210,0.706
2222,0.46
2227,0.694
2228,0.51
2230,0.736
2231,0.4
2236,0.446
2243,0.758
2244,0.604
2253,0.504
2256,0.674
2259,0.372
2263,0.728
2265,0.636
2267,0.782
2270,0.486
2272,0.636
2273,0.556
2276,0.656
2279,0.256
2281,0.502
2284,0.49
2285,0.492
2287,0.666
2292,0.846
2296,0.546
2298,0.72
2305,0.752
2306,0.748
2309,0.184
2310,0.434
2312,0.312
2316,0.468
2319,0.714
2320,0.872
2326,0.67
2331,0.578
2335,0.694
2336,0.514
2341,0.604
2345,0.692
2346,0.48
2348,0.64
2352,0.78
2353,0.264
2355,0.564
2359,0.74
2360,0.688
2371,0.486
2378,0.62
2381,0.698
2386,0.204
2390,0.424
2391,0.542
2392,0.704
2393,0.596
2398,0.506
2402,0.328
2404,0.71
2409,0.62
2410,0.9
2412,0.776
2417,0.7
2419,0.674
2422,0.578
2424,0.364
2430,0.666
2434,0.58
2441,0.252
2444,0.434
2449,0.614
2453,0.524
2455,0.454
2456,0.392
2462,0.844
2464,0.644
2465,0.628
2466,0.434
2468,0.464
2469,0.676
2470,0.608
2474,0.644
2479,0.662
2480,0.778
2483,0.816
2485,0.538
2486,0.688
2496,0.614
2497,0.844
2498,0.608
2509,0.598
2511,0.81
2513,0.95
2516,0.302
2523,0.67
2525,0.568
2527,0.514
2528,0.496
2533,0.374
2540,0.638
2543,0.44
2544,0.838
2549,0.65
2551,0.842
2558,0.462
2572,0.454
2573,0.792
2574,0.63
2576,0.468
2579,0.382
2584,0.788
2589,0.664
2597,0.806
2599,0.39
2605,0.592
2608,0.71
2614,0.346
2619,0.61
2622,0.418
2623,0.586
2624,0.778
2625,0.35
2640,0.66
2642,0.492
2646,0.378
2649,0.62
2662,0.688
2663,0.252
2664,0.642
2671,0.786
2677,0.542
2679,0.594
2683,0.786
2685,0.564
2694,0.65
2697,0.714
2700,0.768
2706,0.774
2710,0.378
2719,0.628
2731,0.736
2734,0.632
2736,0.746
2745,0.758
2746,0.424
2750,0.658
2755,0.47
2757,0.744
2776,0.562
2787,0.442
2788,0.67
2789,0.824
2791,0.674
2793,0.436
2795,0.458
2800,0.562
2801,0.412
2806,0.91
2808,0.512
2813,0.548
2814,0.836
2819,0.75
2820,0.638
2823,0.44
2830,0.486
2832,0.63
2838,0.464
2839,0.44
2845,0.818
2846,0.604
2856,0.588
2858,0.614
2860,0.692
2864,0.286
2866,0.712
2871,0.676
2875,0.396
2882,0.27
2891,0.47
2892,0.81
2898,0.478
2900,0.314
2907,0.816
2915,0.5
2917,0.6
2926,0.376
2928,0.48
2932,0.614
2950,0.55
2958,0.65
2967,0.812
2982,0.466
2983,0.576
2994,0.524
2997,0.488
3013,0.446
3016,0.756
3026,0.664
3031,0.58
3032,0.702
3041,0.578
3045,0.61
3050,0.528
3057,0.354
3060,0.506
3061,0.79
3064,0.668
3065,0.372
3068,0.556
3082,0.604
3094,0.808
3095,0.388
3096,0.388
3098,0.624
3103,0.814
3108,0.684
3117,0.59
3118,0.778
3127,0.446
3129,0.388
3131,0.486
3134,0.716
3136,0.732
3139,0.402
3142,0.798
3147,0.482
3154,0.624
3156,0.434
3159,0.634
3163,0.646
3166,0.712
3172,0.818
3173,0.706
3178,0.54
3180,0.324
3185,0.71
3187,0.32
3189,0.636
3193,0.758
3194,0.854
3195,0.808
3198,0.888
3205,0.326
3207,0.54
3208,0.574
3213,0.462
3214,0.63
3215,0.464
3225,0.674
3227,0.562
3232,0.61
3244,0.94
3246,0.54
3248,0.492
3252,0.644
3255,0.4
3263,0.448
3265,0.618
3274,0.85
3287,0.8
3296,0.51
3299,0.772
3301,0.592
3302,0.484
3304,0.5
3306,0.448
3308,0.818
3313,0.704
3321,0.552
3326,0.618
3327,0.67
3332,0.16
3334,0.626
3336,0.248
3346,0.418
3347,0.704
3348,0.518
3351,0.41
3360,0.378
3366,0.444
3367,0.722
3369,0.538
3371,0.74
3372,0.778
3385,0.502
3389,0.574
3390,0.504
3392,0.464
3393,0.252
3394,0.506
3396,0.544
3412,0.566
3413,0.796
3420,0.432
3425,0.46
3427,0.644
3430,0.564
3432,0.508
3433,0.616
3434,0.71
3442,0.648
3447,0.282
3461,0.428
3462,0.552
3464,0.51
3471,0.804
3475,0.756
3476,0.66
3487,0.548
3488,0.704
3490,0.542
3498,0.736
3499,0.804
3500,0.678
3506,0.58
3511,0.558
3512,0.652
3514,0.826
3518,0.636
3523,0.496
3525,0.506
3533,0.636
3537,0.492
3543,0.668
3545,0.418
3550,0.756
3554,0.828
3555,0.514
3558,0.646
3559,0.428
3562,0.374
3564,0.766
3566,0.754
3567,0.718
3572,0.784
3573,0.628
3574,0.25
3576,0.736
3579,0.842
3588,0.926
3590,0.59
3592,0.712
3593,0.766
3594,0.618
3596,0.306
3601,0.686
3602,0.712
3604,0.314
3607,0.692
3613,0.288
3618,0.808
3621,0.552
3631,0.546
3641,0.724
3646,0.792
3657,0.598
3660,0.414
3665,0.57
3666,0.206
3676,0.71
3680,0.696
3682,0.714
3695,0.626
3704,0.376
3707,0.546
3712,0.526
3713,0.376
3714,0.274
3715,0.666
3719,0.292
3733,0.526
3735,0.582
3736,0.7
3737,0.752
3738,0.358
3743,0.616
3744,0.756
3746,0.208
3747,0.296
3749,0.706
3753,0.73
3758,0.582
3764,0.45
3767,0.32
3769,0.35
3781,0.27
3782,0.59
3784,0.52
3788,0.778
3793,0.542
3801,0.492
3805,0.422
3807,0.776
3808,0.462
3809,0.636
3810,0.746
3813,0.448
3816,0.384
3817,0.624
3820,0.642
3833,0.344
3835,0.546
3837,0.734
3839,0.758
3840,0.476
3843,0.476
3848,0.618
3850,0.686
3851,0.298
3859,0.428
3866,0.782
3870,0.652
3873,0.476
3881,0.488
3882,0.636
3889,0.458
3906,0.64
3908,0.584
3909,0.522
3910,0.892
3913,0.744
3915,0.646
3917,0.684
3922,0.426
3923,0.718
3924,0.658
3933,0.784
3935,0.384
3939,0.21
3960,0.762
3971,0.56
3976,0.392
3977,0.428
3987,0.31
3990,0.436
4005,0.378
4008,0.598
4009,0.92
4011,0.304
4012,0.764
4020,0.528
4021,0.402
4022,0.274
4027,0.71
4028,0.478
4030,0.568
4031,0.316
4035,0.474
4036,0.348
4037,0.54
4039,0.524
4044,0.544
4046,0.636
4054,0.358
4056,0.474
4059,0.7
4062,0.556
4064,0.6
4067,0.552
4072,0.408
4090,0.732
4095,0.352
4099,0.888
4102,0.654
4103,0.68
4105,0.208
4110,0.408
4112,0.278
4114,0.684
4116,0.298
4117,0.21
4118,0.722
4124,0.626
4126,0.716
4137,0.636
4141,0.474
4149,0.654
4150,0.78
4152,0.516
4158,0.494
4162,0.474
4163,0.67
4165,0.566
4167,0.724
4170,0.31
4173,0.746
4183,0.826
4188,0.516
4191,0.542
4192,0.356
4195,0.462
4199,0.568
4203,0.338
4208,0.702
4218,0.454
4231,0.422
4233,0.72
4234,0.74
4240,0.324
4247,0.766
4249,0.292
4254,0.762
4256,0.674
4258,0.518
4260,0.548
4262,0.638
4267,0.372
4280,0.324
4281,0.812
4282,0.426
4284,0.708
4285,0.734
4288,0.522
4300,0.49
4301,0.708
4302,0.316
4303,0.334
4305,0.424
4308,0.384
4314,0.36
4315,0.622
4325,0.652
4327,0.778
4330,0.49
4334,0.596
4340,0.562
4347,0.386
4349,0.724
4362,0.426
4370,0.648
4372,0.556
4377,0.604
4379,0.882
4383,0.536
4392,0.75
4393,0.682
4394,0.516
4402,0.578
4406,0.356
4409,0.802
4411,0.488
4412,0.568
4418,0.818
4420,0.668
4422,0.474
4431,0.378
4433,0.302
4435,0.482
4445,0.608
4449,0.696
4451,0.578
4457,0.734
4458,0.358
4460,0.332
4462,0.448
4464,0.526
4466,0.414
4469,0.822
4472,0.422
4473,0.596
4475,0.39
4478,0.458
4481,0.54
4482,0.532
4484,0.476
4494,0.422
4496,0.682
4497,0.666
4507,0.638
4510,0.348
4513,0.426
4525,0.482
4530,0.792
4537,0.728
4542,0.508
4543,0.45
4544,0.682
4546,0.432
4547,0.676
4558,0.664
4568,0.556
4569,0.47
4572,0.21
4579,0.746
4580,0.476
4584,0.52
4586,0.698
4598,0.392
4602,0.594
4607,0.324
4610,0.646
4613,0.514
4620,0.474
4623,0.698
4626,0.588
4629,0.554
4631,0.392
4633,0.692
4634,0.718
4635,0.924
4638,0.316
4639,0.848
4641,0.624
4644,0.6
4646,0.694
4650,0.806
4658,0.228
4661,0.68
4665,0.508
4672,0.698
4680,0.288
4683,0.17
4690,0.852
4693,0.818
4694,0.846
4695,0.512
4698,0.676
4699,0.588
4702,0.674
4710,0.608
4711,0.476
4715,0.342
4718,0.594
4734,0.69
4738,0.284
4740,0.556
4757,0.39
4759,0.598
4761,0.698
4768,0.302
4770,0.44
4773,0.754
4778,0.68
4782,0.272
4785,0.702
4787,0.528
4795,0.536
4797,0.724
4799,0.838
4803,0.458
4804,0.536
4805,0.628
4814,0.126
4815,0.876
4821,0.878
4823,0.552
4824,0.696
4840,0.676
4842,0.696
4844,0.758
4848,0.316
4850,0.42
4851,0.624
4859,0.298
4861,0.714
4863,0.522
4865,0.53
4867,0.618
4870,0.788
4872,0.732
4874,0.458
4877,0.582
4883,0.444
4884,0.652
4885,0.748
4895,0.848
4901,0.796
4902,0.388
4903,0.82
4904,0.58
4905,0.86
4910,0.796
4915,0.428
4918,0.5
4920,0.38
4922,0.554
4924,0.328
4933,0.84
4934,0.616
4935,0.47
4939,0.428
4940,0.84
4943,0.696
4944,0.2
4946,0.574
4948,0.732
4950,0.532
4952,0.292
4955,0.628
4956,0.638
4961,0.864
4964,0.732
4967,0.612
4968,0.636
4969,0.878
4974,0.334
4978,0.762
4981,0.548
4989,0.724
4990,0.282
4991,0.406
4993,0.67
4995,0.666
5001,0.55
5002,0.734
5008,0.78
5013,0.738
5019,0.486
5021,0.72
5022,0.384
5026,0.536
5034,0.662
5038,0.56
5040,0.486
5042,0.768
5047,0.662
5048,0.57
5054,0.344
5063,0.728
5064,0.382
5066,0.25
5070,0.76
5073,0.238
5074,0.452
5075,0.788
5077,0.592
5078,0.736
5080,0.58
5086,0.486
5090,0.732
5096,0.854
5097,0.384
5098,0.728
5100,0.39
5103,0.692
5107,0.544
5108,0.27
5114,0.678
5115,0.3
5133,0.616
5134,0.734
5137,0.806
5138,0.792
5143,0.796
5144,0.64
5159,0.782
5160,0.378
5161,0.292
5164,0.522
5165,0.704
5179,0.678
5182,0.568
5187,0.502
5188,0.584
5189,0.678
5194,0.416
5197,0.628
5198,0.816
5203,0.338
5206,0.358
5208,0.68
5216,0.656
5224,0.554
5226,0.594
5229,0.574
5236,0.762
5240,0.704
5242,0.584
5249,0.458
5250,0.29
5253,0.666
5255,0.48
5256,0.728
5260,0.676
5265,0.588
5266,0.392
5275,0.526
5276,0.638
5287,0.698
5293,0.698
5294,0.664
5295,0.602
5301,0.8
5304,0.364
5310,0.762
5313,0.45
5318,0.812
5332,0.538
5343,0.748
5347,0.31
5352,0.536
5355,0.664
5357,0.688
5359,0.302
5360,0.674
5374,0.602
